NO,LB,LT,KT,KM,GRS,HARGA_JUTA
506,194,194,3,3,1,4000
507,250,141,4,4,3,6000
508,147,154,4,3,1,2600
509,126,135,4,3,0,3500
510,170,112,3,4,2,3500
511,600,208,4,5,3,12500
512,260,133,5,5,2,3950
513,100,140,3,2,1,2300
514,216,135,5,4,1,4000
515,900,672,5,6,4,29000
516,500,720,5,5,2,37000
517,382,404,6,3,1,8000
518,180,127,4,4,2,5000
519,200,256,5,3,2,7200
520,800,365,5,4,6,17500
521,500,310,4,4,4,14800
522,196,196,7,5,2,3750
523,390,130,7,6,3,6200
524,200,160,5,4,2,4000
525,251,140,5,4,5,6200
526,252,200,4,3,2,8000
527,400,230,5,5,3,8800
528,150,80,5,5,1,3200
529,300,520,4,3,3,18500
530,800,361,5,4,4,18500
531,135,135,4,4,0,2250
532,140,246,6,6,1,16000
533,240,240,4,4,3,5999
534,304,304,3,2,3,8555
535,215,135,9,8,2,4600
536,222,145,4,3,2,4700
537,165,135,4,3,1,2500
538,260,256,4,3,4,8500
539,200,305,5,2,3,5100
540,330,240,5,5,3,8000
541,325,226,6,5,1,3975
542,340,173,5,4,2,5800
543,420,210,6,5,2,5500
544,120,154,6,4,1,4500
545,94,78,3,2,1,2700
546,180,127,4,4,2,4300
547,150,90,4,4,3,3700
548,200,130,4,4,2,3800
549,200,135,10,3,2,2600
550,400,225,5,4,2,4200
551,200,186,3,2,0,3600
552,100,104,2,1,0,2150
553,120,90,3,2,1,2600
554,400,650,7,4,4,22000
555,260,306,4,3,1,8300
556,162,156,5,4,2,2990
557,160,90,3,3,2,3200
558,150,90,4,3,2,2800
559,350,250,5,4,1,7500
560,295,352,6,4,5,6000
561,400,430,9,4,4,13500
562,320,150,7,6,2,5000
563,500,428,6,4,5,6800
564,176,137,5,4,2,4600
565,300,182,4,3,2,7000
566,400,150,5,4,2,3500
567,1000,1400,10,7,7,35000
568,195,199,5,2,1,5300
569,216,135,5,4,1,4000
570,190,135,4,3,2,3500
571,147,154,2,2,0,2400
572,192,120,5,4,2,3375
573,350,400,7,4,3,15000
574,300,405,4,4,0,22000
575,400,541,5,5,4,14000
576,750,610,6,4,4,23000
577,200,256,6,3,3,7100
578,325,222,6,4,1,6000
579,200,145,3,3,2,4300
580,250,90,3,4,2,3500
581,219,338,5,3,1,6500
582,210,166,6,6,3,7000
583,375,130,6,5,3,6100
584,200,160,5,4,2,4000
585,470,350,7,6,2,8000
586,674,775,4,3,0,10000
587,400,370,6,2,0,3700
588,192,120,4,3,2,3000
589,460,290,6,5,2,8250
590,160,179,4,2,2,3300
591,500,400,6,3,4,11000
592,220,166,4,4,2,7000
593,162,156,6,4,2,2990
594,125,135,5,3,2,3600
595,190,202,4,2,4,2650
596,180,202,4,2,4,2650
597,200,122,5,3,1,2700
598,500,520,5,4,4,22000
599,150,98,4,3,1,2800
600,450,700,8,5,2,9200
601,150,250,4,4,2,6000
602,140,128,5,3,1,1000
603,500,310,3,3,4,14800
604,200,280,5,5,2,7500
605,700,547,6,5,6,20000
606,125,133,4,2,1,1999
607,125,130,4,2,1,1950
608,600,208,4,5,4,11500
609,147,154,3,2,1,2400
610,140,90,3,2,2,3100
611,250,184,4,3,2,4600
612,140,135,3,2,1,3000
613,120,86,5,4,2,3200
614,500,400,9,6,4,15000
615,140,140,3,2,1,4500
616,480,290,6,3,4,6800
617,219,338,5,3,3,6500
618,250,352,5,1,3,3550
619,1000,498,8,9,5,23000
620,220,115,4,3,0,4200
621,250,162,4,3,2,9000
622,385,404,4,3,0,12000
623,350,198,7,5,4,12000
624,600,852,5,5,4,22000
625,300,190,6,6,3,3500
626,200,385,5,5,0,15000
627,160,224,4,3,1,3850
628,759,319,4,4,4,9800
629,300,300,5,4,2,8900
630,280,102,4,3,3,4700
631,173,89,3,4,2,3050
632,250,121,4,4,2,5750
633,250,110,4,3,1,4500
634,750,498,5,5,3,28000
635,117,205,5,4,0,6500
636,500,400,6,3,2,13000
637,350,565,5,5,1,25000
638,500,325,5,5,1,7300
639,125,135,5,2,1,2900
640,278,278,7,3,2,8000
641,240,180,7,5,0,6250
642,300,322,4,4,2,8750
643,360,140,4,4,2,5500
644,700,550,6,6,1,16500
645,63,300,3,1,1,1100
646,700,700,5,3,4,15000
647,250,125,3,2,2,6900
648,500,280,5,4,1,7500
649,220,141,4,4,3,5800
650,400,307,3,3,4,14500
651,200,146,4,4,2,4500
652,600,550,5,6,6,17000
653,150,134,3,2,1,2950
654,150,150,3,2,1,3000
655,80,90,2,1,1,2000
656,350,565,5,5,4,25000
657,300,325,5,3,2,8500
658,280,220,4,3,4,7000
659,400,350,4,5,1,9800
660,150,90,3,2,1,3000
661,200,250,4,3,3,5500
662,300,265,4,3,0,4850
663,150,135,5,2,1,3200
664,1080,619,5,6,2,25000
665,390,130,7,6,3,6700
666,360,606,8,3,1,17000
667,1000,670,6,5,2,31000
668,650,695,6,8,1,9200
669,250,160,3,4,1,6900
670,250,145,8,8,0,3800
671,120,139,5,3,1,3600
672,80,90,2,2,1,1700
673,133,126,3,2,1,2900
674,120,90,3,2,1,1900
675,390,608,9,3,5,17000
676,500,428,6,6,4,7000
677,200,145,8,8,2,3300
678,250,162,4,3,2,7150
679,283,306,5,4,1,8500
680,60,30,2,1,0,600
681,450,310,4,4,4,17000
682,121,100,4,3,1,2750
683,224,124,3,3,1,3000
684,300,200,5,4,4,6500
685,272,311,4,4,5,5900
686,147,154,3,2,0,2400
687,325,226,4,4,3,4800
688,250,180,8,5,2,6500
689,250,181,8,6,1,6500
690,150,135,3,3,1,3195
691,320,150,7,6,2,5000
692,380,230,6,4,0,10000
693,226,95,5,3,2,2200
694,1000,670,5,5,5,29000
695,500,310,4,4,4,14800
696,72,72,4,4,0,2700
697,100,139,3,2,1,3000
698,250,180,8,5,2,6500
699,180,200,5,4,1,7500
700,250,217,3,3,1,5000
701,300,153,8,7,2,3250
702,200,130,9,3,1,3300
703,200,180,4,3,1,4500
704,250,161,3,3,2,7200
705,150,102,3,3,1,2800
706,250,96,5,4,2,4500
707,100,130,5,2,2,2700
708,250,189,4,3,2,9500
709,147,107,6,4,1,5500
710,750,610,8,6,6,23000
711,120,90,3,2,1,1500
712,500,428,8,6,4,7000
713,210,170,5,3,2,3500
714,225,110,5,4,2,4950
715,800,498,5,5,9,30000
716,164,72,4,2,2,1980
717,250,125,3,3,3,6500
718,178,150,3,2,2,3500
719,105,90,3,2,1,1800
720,350,248,4,4,1,13000
721,225,156,4,3,2,3100
722,180,137,4,4,2,4750
723,160,90,4,2,1,2599
724,200,320,4,3,2,6250
725,150,135,3,1,1,3000
726,350,270,5,4,2,6550
727,320,150,7,6,1,5000
728,525,330,4,4,3,16000
729,750,610,8,6,4,23000
730,200,265,6,3,3,7100
731,144,135,4,2,2,2300
732,500,428,6,4,4,7500
733,410,205,4,4,2,5500
734,150,132,4,3,1,2300
735,237,387,5,4,2,15000
736,140,90,3,3,2,3500
737,140,107,3,3,3,5900
738,62,90,5,3,0,3000
739,500,703,8,4,8,30000
740,120,137,5,2,1,2900
741,350,220,5,5,2,6000
742,200,251,5,3,3,18000
743,147,107,6,4,2,5500
744,350,180,4,3,1,3700
745,150,150,3,3,2,6250
746,150,139,5,3,1,3700
747,300,325,5,4,6,7300
748,150,190,4,4,2,6950
749,190,110,5,6,2,3400
750,120,90,3,3,2,3300
751,600,624,3,3,2,42000
752,170,88,5,4,0,2700
753,390,130,4,5,2,6700
754,400,312,4,4,2,12000
755,200,170,7,2,0,1500
756,130,130,4,3,1,2350
757,100,139,6,4,2,3400
758,200,150,5,4,2,3000
759,328,150,7,6,2,5000
760,250,154,6,3,2,4000
761,107,54,3,2,1,2300
762,230,180,4,4,1,4500
763,200,195,7,2,2,4400
764,150,179,3,2,1,4500
765,100,130,3,2,2,2800
766,178,239,4,3,4,3800
767,450,475,5,5,5,15000
768,135,101,4,2,2,3500
769,170,270,6,3,1,5500
770,100,139,3,2,2,2900
771,600,400,4,3,0,10000
772,100,124,3,2,2,4340
773,353,535,10,10,6,25000
774,150,60,4,4,1,2900
775,150,92,4,4,2,3200
776,272,311,5,5,0,6500
777,210,172,5,2,2,3500
778,550,485,4,4,3,25000
779,250,315,3,3,2,7500
780,135,133,4,3,1,2950
781,225,326,7,2,0,5500
782,350,305,5,5,3,9000
783,120,135,4,2,1,2500
784,172,90,4,3,2,3100
785,200,231,4,3,2,3500
786,480,312,4,2,1,12000
787,330,187,7,4,2,7000
788,148,150,4,3,3,6500
789,200,148,4,3,1,4500
790,180,253,3,2,2,7000
791,140,77,4,3,1,2300
792,250,200,5,4,2,8750
793,400,230,5,5,3,8800
794,250,186,4,3,0,3800
795,600,208,4,5,4,13000
796,90,84,3,2,0,1800
797,350,278,6,4,0,13500
798,280,241,5,4,3,7100
799,200,385,5,5,0,8500
800,139,150,3,3,1,3000
801,150,135,5,3,3,3600
802,700,619,5,4,10,22000
803,100,78,3,1,0,750
804,350,448,6,7,4,22000
805,160,118,4,4,2,3500
806,245,240,3,5,2,8500
807,550,485,5,5,2,25000
808,150,90,3,2,1,1600
809,424,311,5,4,4,5500
810,260,306,5,4,2,8000
811,480,312,4,2,1,12500
812,350,220,4,5,1,7500
813,300,110,4,3,1,3000
814,300,260,4,3,4,15000
815,220,135,4,4,1,3900
816,210,203,5,3,1,6000
817,200,450,5,3,2,18000
818,150,90,4,5,1,3000
819,180,107,6,5,2,5000
820,56,56,4,2,0,850
821,140,135,4,3,1,2500
822,350,520,5,4,2,21000
823,150,120,2,2,0,2900
824,600,208,4,5,4,12500
825,160,140,4,3,1,3000
826,500,703,7,4,8,30000
827,200,150,5,5,2,4750
828,400,268,5,4,3,6900
829,300,368,4,4,3,10000
830,250,125,3,3,3,6700
831,350,300,4,4,0,9000
832,200,110,4,3,2,2800
833,180,135,5,4,3,3000
834,220,110,4,3,2,4100
835,498,750,6,6,0,30000
836,162,149,4,2,2,3500
837,800,700,6,7,10,35000
838,776,776,4,3,4,22000
839,800,498,6,6,9,30000
840,128,148,4,3,2,2000
841,550,485,5,4,4,25000
842,380,386,7,4,4,9500
843,250,151,5,3,4,4600
844,168,221,5,3,2,6000
845,160,80,4,3,1,2350
846,140,84,3,2,1,2600
847,300,287,4,3,1,9000
848,150,90,3,2,1,2600
849,470,270,5,4,1,12000
850,90,78,3,2,0,2700
851,600,208,4,4,2,14500
852,127,180,4,4,2,3750
853,325,225,7,5,2,6000
854,150,253,5,2,0,7500
855,300,260,7,3,1,5200
856,250,266,3,2,1,4900
857,750,724,4,2,3,17500
858,646,428,5,5,6,10900
859,300,388,4,3,1,9000
860,168,221,5,2,1,6500
861,600,1000,10,10,10,25000
862,300,150,5,4,2,6000
863,120,90,4,4,1,3300
864,100,50,2,1,0,1100
865,410,205,3,3,1,5000
866,100,150,3,2,0,2500
867,160,118,4,4,2,3500
868,160,90,4,3,1,3000
869,180,110,4,4,2,3300
870,250,130,4,3,2,4400
871,200,150,5,3,4,4250
872,275,305,5,3,1,11000
873,120,90,4,4,1,3000
874,140,88,4,3,0,2500
875,150,205,5,2,2,8800
876,300,248,5,4,3,5500
877,160,100,3,2,1,2200
878,250,170,5,5,3,6000
879,300,240,4,3,4,7000
880,500,345,6,4,2,10500
881,335,140,5,4,0,3500
882,350,210,5,5,1,6000
883,150,130,3,2,1,3800
884,250,140,5,3,1,5500
885,200,122,4,2,1,2500
886,480,290,5,3,2,7500
887,375,130,4,5,4,6800
888,480,312,4,3,2,12500
889,300,368,5,4,2,9500
890,150,200,5,4,2,6000
891,240,130,5,6,2,3500
892,350,305,4,4,3,9000
893,350,178,8,6,2,8000
894,440,660,9,5,5,20000
895,450,248,5,6,1,9700
896,100,130,3,3,0,3600
897,180,120,4,3,2,4200
898,350,240,6,4,3,9000
899,130,92,4,2,0,950
900,700,550,6,6,0,16450
901,320,360,7,4,0,7500
902,375,265,5,4,4,8700
903,230,150,5,4,2,3500
904,400,932,7,5,9,25000
905,800,370,6,5,4,13000
906,120,150,2,2,2,3750
907,450,750,8,6,1,10000
908,80,80,4,3,1,1600
909,320,146,5,5,3,4500
910,235,256,3,2,2,13500
911,100,90,3,2,1,2000
912,211,234,7,5,4,9000
913,280,170,5,4,2,5800
914,160,135,4,3,1,3200
915,154,147,3,2,1,2400
916,350,210,4,4,2,6750
917,75,101,2,1,2,2400
918,150,95,3,3,2,3100
919,399,384,4,4,0,11000
920,500,703,8,4,6,28000
921,50,55,2,1,0,650
922,350,240,7,5,0,5750
923,150,90,3,3,1,2800
924,170,90,4,4,0,3200
925,750,610,8,6,0,23000
926,80,80,4,3,0,1600
927,100,130,4,2,1,2400
928,450,260,7,4,0,6000
929,251,106,4,3,2,4500
930,200,200,4,3,0,3000
931,162,162,3,3,2,2100
932,180,141,4,3,2,5800
933,385,386,6,4,4,9300
934,130,100,3,2,1,2000
935,400,600,5,3,4,35000
936,200,140,4,3,2,4000
937,250,180,8,4,1,6500
938,160,135,3,2,2,2850
939,300,200,5,5,4,6800
940,150,112,3,4,1,3500
941,160,110,4,4,2,3500
942,800,457,7,5,2,10500
943,480,312,6,4,4,12500
944,265,250,4,3,2,5500
945,250,162,4,4,2,5700
946,550,485,4,3,2,26000
947,90,160,5,4,1,3000
948,385,380,5,4,2,9500
949,160,110,3,3,2,3750
950,150,340,6,4,0,3600
951,170,89,3,3,1,6500
952,300,325,5,4,2,7500
953,120,60,3,4,1,2500
954,200,130,5,4,1,3900
955,450,310,5,5,1,16000
956,300,538,5,5,0,18000
957,330,360,7,7,0,18500
958,200,130,4,3,2,3999
959,170,141,4,3,1,5800
960,170,100,5,3,2,3900
961,180,103,3,3,2,3100
962,150,139,3,3,1,3000
963,440,393,6,6,6,14000
964,352,394,6,4,2,13500
965,200,135,4,3,2,4000
966,120,90,3,2,2,3500
967,300,180,5,4,2,4300
968,180,154,4,3,2,3900
969,800,361,5,5,5,19000
970,210,91,5,4,1,2750
971,175,134,5,2,1,2900
972,500,345,8,5,4,9500
973,700,987,4,4,4,23000
974,700,547,4,4,7,21000
975,150,90,3,2,0,2600
976,200,220,7,3,1,4000
977,700,650,3,3,2,22900
978,180,105,5,4,1,4000
979,137,86,4,2,1,3200
980,160,93,4,4,1,2600
981,250,180,4,3,1,6300
982,160,110,3,3,1,3400
983,200,90,4,3,1,3250
984,150,95,4,4,1,3000
985,180,155,4,3,1,4100
986,130,160,4,1,2,6500
987,90,100,2,1,0,1800
988,150,135,4,3,1,3500
989,100,126,2,2,1,2100
990,200,125,2,2,1,3000
991,128,135,3,2,1,2150
992,200,90,3,2,2,3000
993,120,104,4,3,1,3250
994,85,90,2,1,1,1750
995,200,170,7,2,0,1500
996,200,145,8,8,1,3800
997,120,100,3,2,1,2500
998,250,206,5,4,1,4200
999,70,70,2,1,0,1100
1000,100,60,3,1,0,950
1001,128,90,3,3,1,4500
1002,150,110,4,3,1,7000
1003,60,30,2,2,0,600
1004,100,140,3,2,1,2600
1005,450,550,10,10,3,9000
1006,160,140,4,3,2,4000
1007,139,230,4,4,1,4000
1008,360,606,7,4,0,19000
1009,420,430,7,4,2,10500
